V1,missingness_level,MICE_PFC,MICE_SE
1,0.1,0.289079644847756,0.0129168049899759
2,0.2,0.280673180883634,0.0100859141243272
3,0.3,0.294892575077107,0.0103737659570274
4,0.4,0.275393466019458,0.00843749607311333
