V1,missingness_level,MICE_PFC,MICE_SE
1,0.1,0.314867594299405,0.0122509310511748
2,0.2,0.335289443898444,0.00805111218224086
3,0.3,0.349313000345131,0.00685139317905591
4,0.4,0.372968233719098,0.00604798986672935
