V1,missingness_level,RF_PFC,RF_SE
1,0.1,0.129686010437791,0.00831084550504362
2,0.2,0.150145164184229,0.00561084234075179
3,0.3,0.160725879872434,0.0050987480410481
4,0.4,0.166807094049258,0.0050736477633574
