V1,missingness_level,MeanMode_PFC,MeanMode_SE
1,0.1,0.394344958385492,0.0119482526738098
2,0.2,0.404606687004075,0.00980926729964553
3,0.3,0.410846327779359,0.00767613028057022
4,0.4,0.405867670462438,0.00653783068998693
