V1,missingness_level,RF_PFC,RF_SE
1,0.1,0.127588054300361,0.00977456015284622
2,0.2,0.140136673213036,0.00645287493346303
3,0.3,0.151163358645474,0.00508989761185261
4,0.4,0.159301572446107,0.00471388404197078
