V1,missingness_level,RF_PFC,RF_SE
1,0.1,0.394820157190591,0.0127908123005123
2,0.2,0.3918768796189,0.0088823677551233
3,0.3,0.412084958031631,0.0078217274979596
4,0.4,0.436880371624456,0.00747418079980845
