"","missingness_level","MICE_MSE","MICE_SE"
"1",0.1,0.0742273590008909,0.00663444743353497
"2",0.2,0.100373197956824,0.0051449726115416
"3",0.3,0.110165971881481,0.00503082031230802
"4",0.4,0.129226024747997,0.00462485684679984
