V1,missingness_level,KNN_MSE,KNN_SE
1,0.1,0.455765292266513,0.0229300967930982
2,0.2,0.573665093622618,0.0197394142984316
3,0.3,0.68024952772782,0.0190612748638414
4,0.4,0.7296292963172,0.01618637968465
