V1,missingness_level,RF_MSE,RF_SE
1,0.1,0.245116963088877,0.0100926881630416
2,0.2,0.253495539917386,0.00673296463738926
3,0.3,0.269292819732197,0.0063945002217933
4,0.4,0.280719136257063,0.00614670858490754
