V1,missingness_level,RF_PFC,RF_SE
1,0.1,0.139651131685652,0.00898249627040744
2,0.2,0.147483166234641,0.00603080795518727
3,0.3,0.159337534056959,0.0050435549793479
4,0.4,0.167370634541328,0.00473051841370544
