V1,missingness_level,KNN_PFC,KNN_SE
1,0.1,0.300867600051121,0.00988307342255895
2,0.2,0.375881088577142,0.00896896935785548
3,0.3,0.41419336535809,0.00737889234589226
4,0.4,0.408208178949351,0.00636613560054201
