V1,missingness_level,RF_MSE,RF_SE
1,0.1,0.22837918268821,0.0161148995055505
2,0.2,0.245696663717123,0.0104994612563632
3,0.3,0.256046462573675,0.00903942038563459
4,0.4,0.264268554059988,0.00778600847933836
