V1,missingness_level,RF_PFC,RF_SE
1,0.1,0.111055036509758,0.00911634944013667
2,0.2,0.121785994494667,0.00589142009085898
3,0.3,0.13086586107927,0.00530463362921455
4,0.4,0.129790556897577,0.00442986958423826
