V1,missingness_level,MeanMode_MSE,MeanMode_SE
1,0.1,0.707652042700738,0.0262264316815269
2,0.2,0.690136997715483,0.0195908414654517
3,0.3,0.733081387954665,0.0145938210404497
4,0.4,0.729421114010443,0.0128247986604354
