V1,missingness_level,RF_PFC,RF_SE
1,0.1,0.107130850659488,0.00855880082095736
2,0.2,0.140926976358727,0.00684298412263137
3,0.3,0.168256909310393,0.00575979202790945
4,0.4,0.195894869440149,0.00526796287271583
