V1,missingness_level,RF_PFC,RF_SE
1,0.1,0.0594574628158219,0.00638420348410472
2,0.2,0.0733549016146119,0.00530462995489211
3,0.3,0.08788241734211,0.00515241320055154
4,0.4,0.097372247980143,0.0039534674943086
