V1,missingness_level,RF_MSE,RF_SE
1,0.1,0.206139772409701,0.0167050224843098
2,0.2,0.220517865716437,0.0104920569985003
3,0.3,0.222467551950549,0.00766229755629654
4,0.4,0.233037038591241,0.00716574290027961
