V1,missingness_level,RF_MSE,RF_SE
1,0.1,0.391390496633718,0.028845100434379
2,0.2,0.451353593980763,0.0215693374890873
3,0.3,0.506373629623715,0.0169448338609777
4,0.4,0.55867609119257,0.0147642999335587
