V1,missingness_level,RF_PFC,RF_SE
1,0.1,0.0702813776350928,0.00645088752392863
2,0.2,0.0899916855581017,0.00621775207607685
3,0.3,0.0927271685240212,0.0044270030125761
4,0.4,0.0961296409034306,0.00400352277934063
