V1,missingness_level,KNN_PFC,KNN_SE
1,0.1,0.135514003952704,0.0087259637723198
2,0.2,0.158246751956411,0.00650446785762018
3,0.3,0.17275903380835,0.00565676767279768
4,0.4,0.191346955798479,0.00555238505276468
