V1,missingness_level,RF_MSE,RF_SE
1,0.1,0.178379022724179,0.0094417307027605
2,0.2,0.178361857488301,0.00639714543204494
3,0.3,0.183787672133518,0.00565046391910172
4,0.4,0.185037219706236,0.00491476555897231
