V1,missingness_level,RF_MSE,RF_SE
1,0.1,0.213866029660439,0.0103571701116414
2,0.2,0.210736718488294,0.0083387992949592
3,0.3,0.212344888988248,0.00667472231382804
4,0.4,0.21507124170311,0.00523223817054439
