V1,missingness_level,KNN_PFC,KNN_SE
1,0.1,0.215172423104338,0.0112440535884777
2,0.2,0.298648519669261,0.00846058563513944
3,0.3,0.352084277722351,0.00806879900561654
4,0.4,0.377664043768772,0.00689058828652363
