V1,missingness_level,RF_MSE,RF_SE
1,0.1,0.263111769103506,0.0149691558425917
2,0.2,0.270249586481837,0.0112530554973902
3,0.3,0.282721491588329,0.00899036700988872
4,0.4,0.294852206368558,0.008095405703562
