V1,missingness_level,MeanMode_MSE,MeanMode_SE
1,0.1,0.241700399903197,0.00921066719472899
2,0.2,0.256196110964135,0.00619101360365076
3,0.3,0.255943130758494,0.0050044981351008
4,0.4,0.25371507078624,0.00459000183610341
