V1,missingness_level,MeanMode_MSE,MeanMode_SE
1,0.1,0.612123139435831,0.0360733184547293
2,0.2,0.62588044323292,0.0239932986948754
3,0.3,0.620661356883493,0.0179071447168604
4,0.4,0.622492161232416,0.0153849685212845
