V1,missingness_level,KNN_MSE,KNN_SE
1,0.1,0.225694932803845,0.0161281577180859
2,0.2,0.290057981087231,0.0149969691415032
3,0.3,0.303056410006962,0.012022006885304
4,0.4,0.334586359813066,0.0131933218672297
