V1,missingness_level,RF_MSE,RF_SE
1,0.1,0.196222230666495,0.0102661020947885
2,0.2,0.193820058324595,0.0067913942357397
3,0.3,0.194187506477101,0.00543434051852972
4,0.4,0.19989705782497,0.00463736507889494
