V1,missingness_level,MeanMode_PFC,MeanMode_SE
1,0.1,0.454671983441993,0.0143850826451528
2,0.2,0.469959281777407,0.00832992772686699
3,0.3,0.469709882050509,0.00700830668924452
4,0.4,0.480696312980509,0.00668154508821139
