V1,missingness_level,KNN_MSE,KNN_SE
1,0.1,0.387899026002375,0.032086797388038
2,0.2,0.444896051524438,0.0221658692399654
3,0.3,0.485345707048719,0.017379967960336
4,0.4,0.521311781154973,0.015488073907396
