V1,missingness_level,RF_MSE,RF_SE
1,0.1,0.221803920278056,0.0115050770013952
2,0.2,0.222817089259164,0.00897306938858342
3,0.3,0.228850236290943,0.00749855060260229
4,0.4,0.239192031445133,0.00655303261152381
